"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #076711","SUPPL-30","BUPROPION HYDROCHLORIDE","IMPAX LABS","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #076711","SUPPL-31","BUPROPION HYDROCHLORIDE","IMPAX LABS","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #076711","SUPPL-32","BUPROPION HYDROCHLORIDE","IMPAX LABS","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #076711","SUPPL-39","BUPROPION HYDROCHLORIDE","IMPAX LABS","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #076711","SUPPL-40","BUPROPION HYDROCHLORIDE","IMPAX LABS","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #077455","SUPPL-25","BUPROPION HYDROCHLORIDE","WATSON LABS INC","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #077455","SUPPL-27","BUPROPION HYDROCHLORIDE","WATSON LABS INC","Labeling","Approval"
"01/04/2021","MOMETASONE FUROATEANDA  #077678","SUPPL-8","MOMETASONE FUROATE","COSETTE","Labeling","Approval"
"01/04/2021","TEMOZOLOMIDEANDA  #203490","SUPPL-9","TEMOZOLOMIDE","ANI PHARMS","Labeling","Approval"
"01/04/2021","TEMOZOLOMIDEANDA  #203898","SUPPL-1","TEMOZOLOMIDE","LANNETT CO INC","Labeling","Approval"
"01/04/2021","TETRABENAZINEANDA  #204574","SUPPL-1","TETRABENAZINE","HETERO LABS LTD V","Labeling","Approval"
"01/04/2021","TETRABENAZINEANDA  #206129","SUPPL-1","TETRABENAZINE","SUN PHARM","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #206674","SUPPL-5","BUPROPION HYDROCHLORIDE","INVAGEN PHARMS","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #206674","SUPPL-10","BUPROPION HYDROCHLORIDE","INVAGEN PHARMS","Labeling","Approval"
"01/04/2021","BUPROPION HYDROCHLORIDEANDA  #206674","SUPPL-13","BUPROPION HYDROCHLORIDE","INVAGEN PHARMS","Labeling","Approval"
"01/04/2021","AMLODIPINE AND OLMESARTAN MEDOXOMILANDA  #206884","SUPPL-17","AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL","MACLEODS PHARMS LTD","Labeling","Approval"
"01/04/2021","SEVELAMER CARBONATEANDA  #207288","SUPPL-5","SEVELAMER CARBONATE","AMNEAL PHARMS CO","Labeling","Approval"
"01/04/2021","AMLODIPINE AND OLMESARTAN MEDOXOMILANDA  #207807","SUPPL-3","AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL","GLENMARK PHARMS LTD","Labeling","Approval"
"01/04/2021","SOLIFENACIN SUCCINATEANDA  #209719","SUPPL-3","SOLIFENACIN SUCCINATE","AMNEAL PHARMS CO","Labeling","Approval"
"01/04/2021","CYANOCOBALAMINANDA  #212915","ORIG-1","CYANOCOBALAMIN","SANDOZ INC","","Approval"
"01/04/2021","SEVELAMER CARBONATEANDA  #212970","SUPPL-1","SEVELAMER CARBONATE","ANXIN","Labeling","Approval"
"01/05/2021","BENZPHETAMINE HYDROCHLORIDEANDA  #040773","SUPPL-1","BENZPHETAMINE HYDROCHLORIDE","SPECGX LLC","Labeling","Approval"
"01/05/2021","BENZPHETAMINE HYDROCHLORIDEANDA  #090968","SUPPL-4","BENZPHETAMINE HYDROCHLORIDE","KVK TECH","Labeling","Approval"
"01/05/2021","NEUPOGENBLA   #103353","SUPPL-5196","FILGRASTIM","AMGEN","","Approval"
"01/05/2021","NEULASTABLA   #125031","SUPPL-202","PEGFILGRASTIM","AMGEN","","Approval"
"01/05/2021","LIDOCAINEANDA  #208660","ORIG-1","LIDOCAINE","DR REDDYS","","Approval"
"01/05/2021","SULFAMETHOXAZOLE AND TRIMETHOPRIMANDA  #212699","ORIG-1","SULFAMETHOXAZOLE; TRIMETHOPRIM","LUPIN LTD","","Approval"
"01/05/2021","SITAGLIPTIN PHOSPHATEANDA  #214784","ORIG-1","SITAGLIPTIN PHOSPHATE","AJANTA PHARMA LTD","","Tentative Approval"
"01/06/2021","EXPARELNDA   #022496","SUPPL-36","BUPIVACAINE","PACIRA PHARMS INC","Labeling","Approval"
"01/06/2021","OLANZAPINE AND FLUOXETINE HYDROCHLORIDEANDA  #078901","SUPPL-13","FLUOXETINE HYDROCHLORIDE; OLANZAPINE","EPIC PHARMA","Labeling","Approval"
"01/06/2021","OLANZAPINE AND FLUOXETINE HYDROCHLORIDEANDA  #078901","SUPPL-14","FLUOXETINE HYDROCHLORIDE; OLANZAPINE","EPIC PHARMA","Labeling","Approval"
"01/06/2021","OLANZAPINE AND FLUOXETINE HYDROCHLORIDEANDA  #078901","SUPPL-15","FLUOXETINE HYDROCHLORIDE; OLANZAPINE","EPIC PHARMA","Labeling","Approval"
"01/06/2021","OLANZAPINE AND FLUOXETINE HYDROCHLORIDEANDA  #078901","SUPPL-16","FLUOXETINE HYDROCHLORIDE; OLANZAPINE","EPIC PHARMA","Labeling","Approval"
"01/06/2021","BENZPHETAMINE HYDROCHLORIDEANDA  #090346","SUPPL-2","BENZPHETAMINE HYDROCHLORIDE","EPIC PHARMA LLC","Labeling","Approval"
"01/06/2021","BENZPHETAMINE HYDROCHLORIDEANDA  #090473","SUPPL-4","BENZPHETAMINE HYDROCHLORIDE","CHARTWELL","Labeling","Approval"
"01/06/2021","OMEGA-3-ACID ETHYL ESTERSANDA  #090973","SUPPL-16","OMEGA-3-ACID ETHYL ESTERS","APOTEX","Labeling","Approval"
