,Approval Date,Company Token,Submission,Active Ingredients,Submission Classification *,Submission Status
0,01/02/2018,"['glaxosmithkline', 'cons']",suppl-32,acetaminophen; aspirin; caffeine,labeling,approval
1,01/02/2018,"['actavis', 'fl']",suppl-79,doxycycline hyclate,labeling,approval
2,01/02/2018,"['actavis', 'fl']",suppl-80,doxycycline hyclate,labeling,approval
3,01/02/2018,"['actavis', 'fl']",suppl-62,doxycycline hyclate,labeling,approval
4,01/02/2018,"['actavis', 'fl']",suppl-67,doxycycline hyclate,labeling,approval
5,01/02/2018,"['actavis', 'fl']",suppl-68,doxycycline hyclate,labeling,approval
6,01/02/2018,['janssen'],suppl-2,canagliflozin; metformin hydrochloride,efficacy,approval
7,01/03/2018,['supernus'],suppl-18,topiramate,labeling,approval
8,01/04/2018,['concordia'],suppl-64,tranylcypromine sulfate,labeling,approval
9,01/04/2018,['schering'],suppl-22,posaconazole,labeling,approval
10,01/04/2018,['amgen'],suppl-182,denosumab,,approval
11,01/04/2018,['amgen'],suppl-182,denosumab,,approval
12,01/04/2018,['reddys'],suppl-4,docetaxel,labeling,approval
13,01/04/2018,"['merck', 'dohme']",suppl-6,posaconazole,labeling,approval
14,01/04/2018,"['merck', 'dohme']",suppl-5,posaconazole,labeling,approval
15,01/05/2018,['vicuron'],suppl-26,anidulafungin,labeling,approval
16,01/08/2018,['novartis'],suppl-19,artemether; lumefantrine,labeling,approval
17,01/08/2018,"['sanofi', 'aventis']",suppl-77,rifampin,labeling,approval
18,01/08/2018,"['sanofi', 'aventis']",suppl-20,rifampin,labeling,approval
19,01/08/2018,"['sanofi', 'aventis']",suppl-12,isoniazid; pyrazinamide; rifampin,labeling,approval
20,01/08/2018,['reddys'],orig-1,tetrabenazine,,approval
21,01/09/2018,"['mallinckrodt', 'hosp']",suppl-10,methoxsalen,labeling,approval
22,01/09/2018,['woodward'],suppl-38,rabeprazole sodium,labeling,approval
23,01/09/2018,"['bristol', 'myers', 'squibb']",suppl-35,nivolumab,,approval
24,01/09/2018,"['bristol', 'myers', 'squibb']",suppl-36,nivolumab,,approval
25,01/09/2018,"['bristol', 'myers', 'squibb']",suppl-37,nivolumab,,approval
26,01/09/2018,"['bristol', 'myers', 'squibb']",suppl-38,nivolumab,,approval
27,01/09/2018,"['bristol', 'myers', 'squibb']",suppl-39,nivolumab,,approval
28,01/09/2018,"['sanofi', 'aventis']",suppl-21,cabazitaxel,labeling,approval
29,01/09/2018,['lupin'],orig-1,oseltamivir phosphate,,approval
30,01/09/2018,['avion'],orig-1,ethinyl estradiol; levonorgestrel,type 3 - new dosage form,approval
31,01/10/2018,['ecolab'],suppl-26,chlorhexidine gluconate,labeling,approval
32,01/10/2018,['ecolab'],suppl-26,chlorhexidine gluconate,labeling,approval
33,01/10/2018,['actavis'],suppl-1,azacitidine,labeling,approval
34,01/10/2018,['regeneron'],suppl-5,dupilumab,,approval
35,01/11/2018,"['human', 'genome', '.']",suppl-22,raxibacumab,,approval
36,01/11/2018,['bayer'],suppl-11,riociguat,efficacy,approval
37,01/12/2018,['bayer'],suppl-50,loratadine,manufacturing (cmc),approval
38,01/12/2018,['bayer'],suppl-50,loratadine,manufacturing (cmc),approval
39,01/12/2018,"['pf', 'prism', 'cv']",suppl-62,sirolimus,labeling,approval
40,01/12/2018,"['pf', 'prism', 'cv']",suppl-81,sirolimus,labeling,approval
41,01/12/2018,['cephalon'],suppl-15,arsenic trioxide,efficacy,approval
42,01/12/2018,['novartis'],suppl-20,everolimus,labeling,approval
43,01/12/2018,['novartis'],suppl-21,everolimus,labeling,approval
44,01/12/2018,"['boehringer', 'ingelheim']",suppl-14,afatinib dimaleate,efficacy,approval
