,Symbol,Name,Company Token,Market Cap,Country
0,aadi,aadi bioscience inc. common stock,['aadi'],194029701.0,united states
3,abeo,abeona therapeutics inc. common stock,['abeona'],59198980.0,united states
5,abos,acumen pharmaceuticals inc. common stock,['acumen'],211997008.0,united states
6,absi,absci corporation common stock,['absci'],129352873.0,united states
8,abvc,abvc biopharma inc. common stock,['abvc'],26464592.0,united states
9,acad,acadia pharmaceuticals inc. common stock,['acadia'],3564197142.0,united states
11,acer,acer therapeutics inc. common stock (de),['acer'],17858920.0,united states
12,acet,adicet bio inc. common stock ,['adicet'],126354391.0,united states
17,aciu,ac immune sa common stock,['ac'],173094153.0,switzerland
18,aclx,arcellx inc. common stock,['arcellx'],2105455476.0,united states
22,acrx,acelrx pharmaceuticals inc. common stock,['acelrx'],7080616.0,united states
23,acst,acasti pharma inc. class a common stock,['acasti'],20071313.0,canada
24,acxp,acurx pharmaceuticals inc. common stock,['acurx'],34822444.0,united states
25,adag,adagene inc. american depositary shares,['adagene'],57958440.0,china
27,adct,adc therapeutics sa common shares,['adc'],159672203.0,
28,adil,adial pharmaceuticals inc common stock,['adial'],8420941.0,united states
29,adilw,adial pharmaceuticals inc warrant,['adial'],0.0,united states
31,admp,adamis pharmaceuticals corporation common stock,['adamis'],12902453.0,united states
36,adtx,aditxt inc. common stock,['aditxt'],3454639.0,united states
39,adxn,addex therapeutics ltd american depositary shares,['addex'],10562352.0,switzerland
42,afmd,affimed n.v.,"['affimed', '.']",131672492.0,germany
43,age,agex therapeutics inc. common stock,['agex'],22645517.0,
45,agio,agios pharmaceuticals inc. common stock,['agios'],1434651537.0,united states
46,agle,aeglea biotherapeutics inc. common stock,['aeglea'],10620174.0,united states
47,agrx,agile therapeutics inc. common stock,['agile'],5536680.0,united states
52,aimd,ainos inc. common stock,['ainos'],16009282.0,united states
53,aimdw,ainos inc. warrants,['ainos'],0.0,united states
56,akba,akebia therapeutics inc. common stock,['akebia'],190051858.0,united states
57,akro,akero therapeutics inc. common stock,['akero'],2122149283.0,united states
58,aktx,akari therapeutics plc ads,"['akari', 'ads']",17948061.0,united kingdom
60,aldx,aldeyra therapeutics inc. common stock,['aldeyra'],619272825.0,united states
61,alec,alector inc. common stock,['alector'],613576255.0,united states
62,algs,aligos therapeutics inc. common stock,['aligos'],54104512.0,united states
64,alim,alimera sciences inc. common stock,['alimera'],13731479.0,united states
65,alks,alkermes plc ordinary shares,['alkermes'],4830574379.0,ireland
66,allk,allakos inc. common stock,['allakos'],371343751.0,united states
68,allr,allarity therapeutics inc. common stock,['allarity'],1526583.0,united states
69,alpn,alpine immune sciences inc. common stock,['alpine'],355311388.0,united states
70,alrn,aileron therapeutics inc. common stock,['aileron'],6130575.0,united states
71,alt,altimmune inc. common stock,['altimmune'],244423151.0,united states
72,alvo,alvotech ordinary shares,['alvotech'],2574539879.0,luxembourg
74,alxo,alx oncology holdings inc. common stock,['alx'],259071731.0,united states
79,amlx,amylyx pharmaceuticals inc. common stock,['amylyx'],1944849427.0,united states
80,ampe,ampio pharmaceuticals inc.,"['ampio', '.']",3470641.0,united states
81,amph,amphastar pharmaceuticals inc. common stock,['amphastar'],1761460619.0,united states
82,amrn,amarin corporation plc,['amarin'],566531431.0,ireland
83,amrx,amneal pharmaceuticals inc. class a common stock,['amneal'],300498745.0,
86,anab,anaptysbio inc. common stock,['anaptysbio'],608896410.0,united states
87,aneb,anebulo pharmaceuticals inc. common stock,['anebulo'],62291281.0,united states
